ensembl_gene_id	external_gene_name	B4_WT_2	C4_WT_3	D4_WT_4	E4_GFP_1	F4_GFP_2	G4_GFP_3	H4_GFP_4	A4_WT_1
ENSG00000000003	TSPAN6	192	136	48	69	87	65	96	156
ENSG00000000005	TNMD	0	0	0	0	0	0	0	0
ENSG00000000419	DPM1	99	162	37	169	197	146	123	98
ENSG00000000457	SCYL3	65	82	28	66	59	83	99	64
ENSG00000000460	C1orf112	19	35	6	29	28	22	42	36
ENSG00000000938	FGR	0	0	0	0	2	8	1	0
ENSG00000000971	CFH	806	895	516	428	500	376	365	803
ENSG00000001036	FUCA2	243	189	94	205	228	265	219	161
ENSG00000001084	GCLC	424	474	283	105	126	140	147	356
ENSG00000001167	NFYA	88	49	52	59	65	52	23	56
ENSG00000001460	STPG1	35	80	27	56	45	32	39	68
ENSG00000001461	NIPAL3	506	540	300	214	219	199	261	385
ENSG00000001497	LAS1L	140	161	78	128	147	80	97	92
ENSG00000001561	ENPP4	1	0	0	0	0	0	0	0
ENSG00000001617	SEMA3F	268	182	199	12	7	8	15	200
ENSG00000001626	CFTR	0	0	0	0	0	0	0	0
ENSG00000001629	ANKIB1	352	474	405	754	703	835	705	369
ENSG00000001630	CYP51A1	30	10	19	35	24	19	26	20
ENSG00000001631	KRIT1	376	350	366	378	451	423	385	283
ENSG00000002016	RAD52	21	38	13	57	84	66	47	18
ENSG00000002330	BAD	302	443	339	173	238	159	229	210
ENSG00000002549	LAP3	64	109	135	527	575	694	569	104
ENSG00000002586	CD99	1859	1767	803	1428	1901	1127	1011	1392
ENSG00000002587	HS3ST1	0	0	0	0	0	0	0	0
ENSG00000002726	AOC1	0	0	0	0	0	2	0	0
ENSG00000002745	WNT16	0	3	0	0	0	0	0	0
ENSG00000002746	HECW1	47	38	36	53	42	63	50	45
ENSG00000002822	MAD1L1	55	56	83	95	71	105	111	56
ENSG00000002834	LASP1	1428	1574	634	1388	1597	1075	1129	1171
ENSG00000002919	SNX11	80	106	76	169	97	151	134	87
ENSG00000002933	TMEM176A	0	0	0	0	0	0	0	0
ENSG00000003056	M6PR	273	408	161	487	469	443	384	246
ENSG00000003096	KLHL13	0	0	6	0	2	0	0	0
ENSG00000003137	CYP26B1	0	7	0	0	0	0	1	0
ENSG00000003147	ICA1	0	0	0	0	0	0	0	0
ENSG00000003249	DBNDD1	2	6	7	62	36	52	42	3
ENSG00000003393	ALS2	108	155	89	155	154	162	145	122
ENSG00000003400	CASP10	24	17	14	24	35	18	18	25
ENSG00000003402	CFLAR	971	1040	907	1360	1375	1321	1583	1007
ENSG00000003436	TFPI	443	351	201	549	560	495	421	315
ENSG00000003509	NDUFAF7	27	49	43	53	60	49	51	81
ENSG00000003756	RBM5	558	554	425	583	693	531	556	415
ENSG00000003987	MTMR7	0	0	0	0	0	0	1	0
ENSG00000003989	SLC7A2	14	26	34	24	11	16	11	25
ENSG00000004059	ARF5	8	8	0	0	9	3	0	2
ENSG00000004139	SARM1	59	45	68	55	100	97	63	48
ENSG00000004142	POLDIP2	362	340	100	366	360	418	334	225
ENSG00000004399	PLXND1	79	80	106	332	317	271	370	43
ENSG00000004455	AK2	318	362	206	459	546	367	499	245
ENSG00000004468	CD38	28	45	4	0	0	0	1	17
ENSG00000004478	FKBP4	176	107	249	267	296	315	368	149
ENSG00000004487	KDM1A	95	122	67	65	92	65	91	69
ENSG00000004534	RBM6	627	582	490	632	665	578	590	357
ENSG00000004660	CAMKK1	5	0	29	36	30	19	41	8
ENSG00000004700	RECQL	270	282	231	296	256	267	322	274
ENSG00000004766	VPS50	83	70	49	60	95	86	79	41
ENSG00000004776	HSPB6	2	0	0	7	4	19	13	1
ENSG00000004777	ARHGAP33	14	24	25	20	7	10	31	32
ENSG00000004779	NDUFAB1	420	372	325	452	459	458	401	331
ENSG00000004799	PDK4	6	16	3	16	8	11	8	20
ENSG00000004809	SLC22A16	0	0	0	0	0	0	0	0
ENSG00000004838	ZMYND10	14	4	0	0	4	4	7	9
ENSG00000004846	ABCB5	0	0	0	0	0	0	0	0
ENSG00000004848	ARX	0	0	0	0	0	0	0	0
ENSG00000004864	SLC25A13	94	65	55	142	110	74	88	117
ENSG00000004866	ST7	87	78	17	91	89	66	54	62
ENSG00000004897	CDC27	648	826	482	1059	1031	1055	1044	633
ENSG00000004939	SLC4A1	0	0	0	0	0	0	0	0
ENSG00000004948	CALCR	0	0	0	0	0	0	0	0
ENSG00000004961	HCCS	165	112	98	246	240	236	239	200
ENSG00000004975	DVL2	260	255	114	370	324	302	404	161
ENSG00000005001	PRSS22	0	0	0	0	0	0	0	0
ENSG00000005007	UPF1	386	390	370	421	479	460	582	316
ENSG00000005020	SKAP2	882	777	562	443	422	423	477	877
ENSG00000005022	SLC25A5	871	778	128	668	622	391	348	781
ENSG00000005059	CCDC109B	46	40	2	74	103	66	77	26
ENSG00000005073	HOXA11	253	223	150	319	318	408	333	160
ENSG00000005075	POLR2J	470	434	546	516	514	700	634	371
ENSG00000005100	DHX33	210	248	77	263	233	256	251	198
ENSG00000005102	MEOX1	0	0	0	0	0	0	0	0
ENSG00000005108	THSD7A	0	6	0	6	9	7	5	4
ENSG00000005156	LIG3	143	93	96	144	145	163	149	139
ENSG00000005175	RPAP3	216	227	181	554	437	381	323	214
ENSG00000005187	ACSM3	11	7	18	1	3	2	6	0
ENSG00000005189	LOC81691	33	0	0	17	28	8	14	15
ENSG00000005194	CIAPIN1	141	133	145	214	186	208	235	136
ENSG00000005206	SPPL2B	177	126	196	172	125	172	172	99
ENSG00000005238	FAM214B	76	84	20	146	148	79	77	71
ENSG00000005243	COPZ2	328	336	248	246	328	208	235	304
ENSG00000005249	PRKAR2B	0	12	2	54	64	66	66	18
ENSG00000005302	MSL3	263	215	198	191	211	229	220	179
ENSG00000005339	CREBBP	507	531	414	673	723	689	673	403
ENSG00000005379	BZRAP1	6	0	0	3	5	4	0	0
ENSG00000005381	MPO	0	0	0	0	0	0	0	0
ENSG00000005421	PON1	0	0	0	0	0	0	0	0
ENSG00000005436	GCFC2	46	36	26	56	80	84	77	52
ENSG00000005448	WDR54	366	373	309	93	169	136	124	280
ENSG00000005469	CROT	317	404	237	88	68	103	64	331
ENSG00000005471	ABCB4	25	0	14	17	9	9	17	28
ENSG00000005483	KMT2E	1250	1168	1119	1244	1595	1376	1564	1138
ENSG00000005486	RHBDD2	234	192	153	416	335	315	430	146
ENSG00000005513	SOX8	0	0	0	0	0	0	0	0
ENSG00000005700	IBTK	396	399	271	621	624	616	481	334
ENSG00000005801	ZNF195	81	111	99	166	159	164	137	90
ENSG00000005810	MYCBP2	854	875	621	1230	1102	1474	1195	756
ENSG00000005812	FBXL3	49	118	35	87	128	58	91	86
ENSG00000005844	ITGAL	0	0	0	0	0	0	0	0
ENSG00000005882	PDK2	83	168	121	40	65	62	96	55
ENSG00000005884	ITGA3	2435	2436	1535	539	506	608	704	2185
ENSG00000005889	ZFX	102	121	118	229	192	240	131	95
ENSG00000005893	LAMP2	1219	1191	649	729	825	754	605	1057
ENSG00000005961	ITGA2B	3	0	0	1	7	0	1	0
ENSG00000005981	ASB4	0	0	0	0	0	0	0	0
ENSG00000006007	GDE1	576	628	563	596	608	673	687	656
ENSG00000006015	C19orf60	416	283	315	368	353	299	373	209
ENSG00000006016	CRLF1	0	0	0	11	7	6	2	2
ENSG00000006025	OSBPL7	51	70	42	71	101	67	72	62
ENSG00000006042	TMEM98	551	511	358	396	572	444	437	456
ENSG00000006047	YBX2	0	0	0	0	0	0	2	0
ENSG00000006059	KRT33A	0	0	0	0	0	0	0	0
ENSG00000006062	MAP3K14	113	129	98	86	51	53	95	82
ENSG00000006071	ABCC8	0	0	0	0	0	0	0	0
ENSG00000006116	CACNG3	0	0	0	0	0	0	0	0
ENSG00000006118	TMEM132A	335	256	192	81	110	114	134	335
ENSG00000006125	AP2B1	1765	2128	1820	1171	1262	1480	1404	1483
ENSG00000006128	TAC1	0	0	0	0	0	0	0	0
ENSG00000006194	ZNF263	62	45	72	140	148	126	144	58
ENSG00000006210	CX3CL1	213	203	137	8	5	0	1	220
ENSG00000006282	SPATA20	233	305	296	279	333	245	389	240
ENSG00000006283	CACNA1G	0	0	0	4	5	1	9	0
ENSG00000006327	TNFRSF12A	192	149	79	758	634	476	484	165
ENSG00000006377	DLX6	0	0	0	0	0	0	0	0
ENSG00000006432	MAP3K9	40	63	20	0	0	0	0	47
ENSG00000006451	RALA	348	487	208	578	568	534	515	351
ENSG00000006453	BAIAP2L1	52	72	38	57	77	57	49	89
ENSG00000006459	KDM7A	39	46	5	53	57	43	41	20
ENSG00000006468	ETV1	21	66	33	186	244	163	148	90
ENSG00000006530	AGK	65	55	12	44	64	66	44	51
ENSG00000006534	ALDH3B1	156	190	142	261	320	363	380	108
ENSG00000006555	TTC22	0	0	0	0	0	0	0	0
ENSG00000006576	PHTF2	191	123	90	116	128	166	154	170
ENSG00000006606	CCL26	0	0	0	0	0	6	5	0
ENSG00000006607	FARP2	184	137	138	62	128	69	114	214
ENSG00000006611	USH1C	0	0	0	0	0	0	0	0
ENSG00000006625	GGCT	130	135	85	140	146	158	139	113
ENSG00000006634	DBF4	122	166	187	176	140	178	185	143
ENSG00000006638	TBXA2R	4	0	1	38	29	42	39	20
ENSG00000006652	IFRD1	236	126	92	381	332	285	316	127
ENSG00000006659	LGALS14	0	0	0	0	0	0	0	0
ENSG00000006695	COX10	32	62	42	78	97	81	76	30
ENSG00000006704	GTF2IRD1	142	88	69	279	235	192	220	97
ENSG00000006712	PAF1	238	256	236	296	274	327	345	171
ENSG00000006715	VPS41	314	349	271	336	402	420	321	341
ENSG00000006740	ARHGAP44	19	15	9	5	11	26	11	12
ENSG00000006744	ELAC2	150	85	181	207	183	247	256	136
ENSG00000006747	SCIN	0	10	3	5	16	2	1	0
ENSG00000006756	ARSD	271	334	308	135	100	159	142	202
ENSG00000006757	PNPLA4	41	45	23	40	21	17	20	14
ENSG00000006788	MYH13	0	0	0	0	0	0	0	0
ENSG00000006831	ADIPOR2	314	372	277	474	426	534	471	246
ENSG00000006837	CDKL3	23	3	39	47	64	42	61	15
ENSG00000007001	UPP2	0	0	0	0	2	2	0	0
ENSG00000007038	PRSS21	0	0	0	0	0	0	0	0
ENSG00000007047	MARK4	332	297	275	195	222	335	324	318
ENSG00000007062	PROM1	0	0	0	0	0	0	0	0
ENSG00000007080	CCDC124	185	158	165	195	129	152	168	171
ENSG00000007129	CEACAM21	0	0	0	0	0	0	0	0
ENSG00000007168	PAFAH1B1	463	636	282	659	632	491	554	490
ENSG00000007171	NOS2	0	0	0	0	0	0	0	0
ENSG00000007174	DNAH9	0	2	0	0	0	0	1	0
ENSG00000007202	KIAA0100	232	186	147	147	158	187	170	215
ENSG00000007216	SLC13A2	0	0	0	0	0	0	0	0
ENSG00000007237	GAS7	0	6	0	0	0	2	0	0
ENSG00000007255	TRAPPC6A	110	49	135	32	59	85	69	73
ENSG00000007264	MATK	0	0	0	0	0	0	0	0
ENSG00000007306	CEACAM7	0	0	0	0	0	0	0	0
ENSG00000007312	CD79B	0	0	0	0	0	0	0	0
ENSG00000007314	SCN4A	0	0	0	0	3	0	0	0
ENSG00000007341	ST7L	82	115	59	134	148	119	139	69
ENSG00000007350	TKTL1	0	0	0	1	0	0	0	0
ENSG00000007372	PAX6	0	0	0	0	0	0	0	0
ENSG00000007376	RPUSD1	128	110	98	93	182	152	169	86
ENSG00000007384	RHBDF1	253	363	201	388	371	394	435	338
ENSG00000007392	LUC7L	331	419	267	383	458	459	497	226
ENSG00000007402	CACNA2D2	0	0	0	0	0	0	0	0
ENSG00000007516	BAIAP3	0	0	0	0	2	0	0	0
ENSG00000007520	TSR3	487	412	398	290	360	394	426	382
ENSG00000007541	PIGQ	74	127	80	137	138	120	117	123
ENSG00000007545	CRAMP1	43	83	42	142	119	176	134	80
ENSG00000007866	TEAD3	199	157	13	244	290	153	169	168
ENSG00000007908	SELE	0	0	0	0	0	0	0	0
ENSG00000007923	DNAJC11	183	146	119	211	197	230	241	193
ENSG00000007933	FMO3	0	0	0	6	0	4	0	0
ENSG00000007944	MYLIP	2	0	5	38	88	99	72	14
ENSG00000007952	NOX1	0	0	0	0	0	0	2	0
ENSG00000007968	E2F2	30	1	11	21	13	14	24	0
ENSG00000008018	PSMB1	702	760	662	836	844	684	790	780
ENSG00000008056	SYN1	0	0	0	3	0	2	1	0
ENSG00000008083	JARID2	625	466	436	478	486	486	497	562
ENSG00000008086	CDKL5	70	82	54	115	96	110	93	78
ENSG00000008118	CAMK1G	1	0	0	0	0	0	0	3
ENSG00000008128	CDK11A	79	88	67	86	120	162	151	59
ENSG00000008130	NADK	67	59	33	88	59	51	44	36
ENSG00000008196	TFAP2B	0	0	0	0	0	0	0	0
ENSG00000008197	TFAP2D	0	0	0	0	0	0	0	0
ENSG00000008226	DLEC1	0	0	0	0	0	0	0	0
ENSG00000008256	CYTH3	244	216	145	148	246	302	293	197
ENSG00000008277	ADAM22	31	5	53	0	7	6	12	22
ENSG00000008282	SYPL1	610	812	378	348	393	321	296	541
ENSG00000008283	CYB561	97	84	97	127	164	142	152	88
ENSG00000008294	SPAG9	330	578	316	643	758	798	739	362
ENSG00000008300	CELSR3	10	4	4	15	15	19	12	12
ENSG00000008311	AASS	172	213	122	119	92	94	76	152
